name,date,average_price
Bitcoin,2022-01-31,"$38,483.13"
Bitcoin,2022-01-30,"$37,917.60"
Bitcoin,2022-01-29,"$38,138.18"
Bitcoin,2022-01-28,"$37,784.33"
Bitcoin,2022-01-27,"$37,138.23"
Bitcoin,2022-01-26,"$36,852.12"
Bitcoin,2022-01-25,"$36,954.00"
Bitcoin,2022-01-24,"$36,654.33"
Bitcoin,2022-01-23,"$36,276.80"
Bitcoin,2022-01-22,"$35,030.25"
Bitcoin,2022-01-21,"$36,457.32"
Bitcoin,2022-01-20,"$40,680.42"
Bitcoin,2022-01-19,"$41,744.33"
Bitcoin,2022-01-18,"$42,375.63"
Bitcoin,2022-01-17,"$42,250.55"
Bitcoin,2022-01-16,"$43,113.88"
Bitcoin,2022-01-15,"$43,177.40"
Bitcoin,2022-01-14,"$43,099.70"
Bitcoin,2022-01-13,"$42,591.57"
Bitcoin,2022-01-12,"$43,949.10"
BNB,2022-04-21,$405.02
BNB,2022-04-20,$418.35
BNB,2022-04-19,$422.39
BNB,2022-04-18,$416.97
BNB,2022-04-17,$407.38
BNB,2022-04-16,$417.48
BNB,2022-04-15,$417.29
BNB,2022-04-14,$414.66
BNB,2022-04-13,$423.13
BNB,2022-04-12,$413.87
BNB,2022-04-11,$394.09
BNB,2022-04-10,$418.59
BNB,2022-04-09,$427.15
BNB,2022-04-08,$421.68
BNB,2022-04-07,$436.80
BNB,2022-04-06,$420.15
BNB,2022-04-05,$445.17
BNB,2022-04-04,$447.52
BNB,2022-04-03,$450.35
BNB,2022-04-02,$436.96
BNB,2022-04-01,$446.60
BNB,2022-03-31,$428.92
BNB,2022-03-30,$442.68
BNB,2022-03-29,$434.51
BNB,2022-03-28,$430.39
BNB,2022-03-27,$430.50
BNB,2022-03-26,$415.92
BNB,2022-03-25,$410.81
BNB,2022-03-24,$414.13
BNB,2022-03-23,$408.61
BNB,2022-03-22,$404.31
BNB,2022-03-21,$396.45
BNB,2022-03-20,$390.77
BNB,2022-03-19,$399.85
BNB,2022-03-18,$397.65
BNB,2022-03-17,$391.82
BNB,2022-03-16,$385.53
BNB,2022-03-15,$371.63
BNB,2022-03-14,$373.47
BNB,2022-03-13,$361.85
BNB,2022-03-12,$372.73
BNB,2022-03-11,$372.18
BNB,2022-03-10,$372.16
BNB,2022-03-09,$393.56
BNB,2022-03-08,$381.96
BNB,2022-03-07,$381.34
BNB,2022-03-06,$375.01
BNB,2022-03-05,$384.87
BNB,2022-03-04,$374.28
BNB,2022-03-03,$402.55
BNB,2022-03-02,$409.00
BNB,2022-03-01,$408.48
BNB,2022-02-28,$395.61
